DWARIKA MEDICALS,,,,,,,,,
"SHOP NO.125,1ST FLOOR,SHREENATH PLAZA OPP M.B HOSPITAL,HOSPITAL ROAD.UDAIPUR",,,,,,,,,
"Phone : +91 9571208268,7597731914 E-Mail : dwarikamedicals@gmail.com",,,,,,,,,
D.L.No. : 96227-96228,,,,,,,,,
DIOS LIFESCIENCE STOCK & SALES STATEMENT 01/08/2026 - 31/08/2026,,,,,,,,,
 ,,,,,,,,,
PRODUCT DESCRIPTION,UNIT,"OPENING
STOCK","OPENING
VALUE","RECEIVE
QUANTITY","RECEIVE
VALUE","ISSUE
QUANTITY","ISSUE
VALUE","CLOSING
STOCK","CLOSING
VALUE"
CALGYM 60K CAP                1*4,STPR,287,25875.92,0,0,93,7483.28,194,17491.04
CALGYM TAB                    1*10,STPR,82,6096.7,0,0,6,446.1,76,5650.6
CITICURE PLUS TAB             1*10,STRP,6,3103.62,0,0,0,0,6,3103.62
DIOMILIN NT TAB               1*15,STPR,66,9131.76,0,0,8,1106.88,58,8024.88
DIOSGLT 10 TAB                1*15,STRP,51,7437.84,0,0,4,583.36,47,6854.48
ESIPRAM 10 MG TAB             1*10,STPR,21,1374.66,0,0,7,458.22,14,916.44
ESIPRAM PLUS TAB              1*10,STPR,321,33830.19,0,0,99,7271.91,222,23396.58
FITJEE DM TAB                 1*10,STPR,38,6649.24,0,0,3,524.94,35,6124.3
FITJEE Q10 TAB                1*10,STPR,65,23754.9,0,0,20,6578.28,45,16445.7
ISIRON CAP                    1*10,STRP,34,1967.24,0,0,0,0,34,1967.24
LINAGET M-OD 5/500            1*10,STPR,2,167.14,0,0,0,0,2,167.14
LINAGET-D TAB                 1*10,STPR,36,4047.84,0,0,0,0,36,4047.84
LINAGET-E 25                  1*10,STRP,61,4701.88,0,0,2,154.16,59,4547.72
METDIOS 25                    1*10,STRP,10,313.2,0,0,0,0,10,313.2
METDIOS 50                    1*10,STRP,10,377.1,0,0,0,0,10,377.1
PREMYLIN M75 TAB              1*10,STPR,50,6071,0,0,0,0,50,6071
PREMYLIN MSR TAB              1*10,STPR,223,26019.64,0,0,91,7700.88,132,15401.76
PROSTADO D  TAB               1*10,STPR,55,10145.3,0,0,0,0,55,10145.3
VALROS 10 TAB                 1*10,STPR,109,10155.53,-60,-5590.2,6,559.02,43,4006.31
VALROS 20                     1*10,STPR,60,8367.6,0,0,18,2510.28,42,5857.32
VALROS 40 TAB                 1*10,STRP,15,2776.05,0,0,0,0,15,2776.05
VALROS ASP                    1*10,STRP,122,6357.42,0,0,0,0,122,6357.42
VALROS EZ-10                  1*10,STRP,39,6683.04,0,0,0,0,39,6683.04
VALROS EZ-40                  1*10,STRP,30,5140.8,0,0,0,0,30,5140.8
VALROS F TAB                  1*10,TAB,209,24223.1,0,0,154,15067,55,6374.5
VALROS F20                    1*10,STRP,35,8752.45,0,0,2,500.14,33,8252.31
VALROS GOLD 10 CAP            1*10,STRP,32,3462.4,0,0,24,2380.4,8,865.6
VALROS GOLD 20                1*10,STRP,82,8872.4,0,0,24,2380.4,58,6275.6
VIDGLIT M FORTE TAB           1*10,TAB,10,1108,0,0,0,0,10,1108
VIDGLIT M TAB                 1*10,STRP,130,12846.6,0,0,37,3063.42,93,9190.26
VIDGLIT TAB                   1*10,TAB,73,5427.55,0,0,24,1487,49,3643.15
VIDMET G80 TAB                1*10,STRP,146,11925.28,0,0,28,2287.04,118,9638.24
VIDMET SR 1000 MG             1*10,TAB,50,1370,0,0,0,0,50,1370
VIDMET SR 500 MG TAB          1*10,STRP,119,1569.61,0,0,80,949.68,39,514.41
VINTEL 20 TAB                 1*10,STRP,35,922.95,0,0,26,685.62,9,237.33
VINTEL 40 TAB NEW             1*15,STRP,492,35916,0,0,210,11899,282,20586
VINTEL AM 40 TAB              1*15,STRP,72,7476.48,0,0,26,2492.16,46,4776.64
VINTEL CD TAB                 1*10,STRP,27,1544.94,0,0,0,0,27,1544.94
VINTEL CT TAB                 1*10,STRP,100,8090,0,0,62,5015.8,38,3074.2
VINTEL H 40 TAB               1*15,STRP,66,8188.62,0,0,16,1985.12,50,6203.5
VINTEL M 25 TAB               1*10,STRP,28,1762.04,0,0,0,0,28,1762.04
VINTEL-CTC TAB                1*10,STRP,484,61129.2,0,0,318,33090.6,166,20965.8
VINTEL-CTC6.25                1*10,STRP,60,7570.2,0,0,6,757.02,54,6813.18
VINVES-100 TAB                1*14,STRP,20,6094.4,0,0,0,0,20,6094.4
VINVES-50 TAB                 1*14,STRP,27,4825.44,0,0,0,0,27,4825.44
XILDA M 500 TAB               1*15,STRP,22,1891.78,0,0,21,1762.8,1,85.99
TOTAL,,4112,435515.05,-60,-5590.2,1415,121180.51,2637,286068.41
 ,,,,,,,,,
"MARG ERP NANO for Chemist Rs.5550 | Stock,Accounts,GST,Expiry | Online Purchase Import | Call 02942423877,9413316877,9982616877",,,,,,,,,
,,,,,,,,,
