NAGDA DISTRIBUTORS,,,,,,,,
"206 2ND FLOOR SHRINATH PLAZA OPP.M.B.HOSPITAL,UDAIPUR-313001",,,,,,,,
"Phone : 0294-2420602,7014716008,9413318602 E-Mail : nagdadistributores@rediffmail.com",,,,,,,,
D.L.No. : 5472-5473,,,,,,,,
DIOS LIFE SCINCES PVT.LTD. STOCK & SALES STATEMENT 01-07-2026 - 31-07-2026,,,,,,,,
 ,,,,,,,,
PRODUCT DESCRIPTION,"OPENING
STOCK","OPENING
VALUE","RECEIVE
QUANTITY","RECEIVE
VALUE","ISSUE
QUANTITY","ISSUE
VALUE","CLOSING
STOCK","CLOSING
VALUE"
CALGYM TAB.                   10 S,20,1635.6,10,817.8,11,991.39,19,1553.82
CALGYM-60K CAP.               4 S,105,9466.8,60,5409.6,87,8202.73,78,7032.48
CILDIOS 10 S,0,0,0,0,0,0,0,0
CILDIOS 20 TAB 10 S,10,942.9,0,0,0,0,10,942.9
CITICURE PLUS 10 S,10,5172.7,0,0,0,0,10,5172.7
CITICURE-500                  10 S,0,0,0,0,0,0,0,0
DIOFLAM TAB.                  10 S,0,0,0,0,0,0,0,0
DIOMILIN NT TAB. 10 S,0,0,0,0,0,0,0,0
DIOMILIN NT TAB.15 S          15 S,10,1383.6,0,0,4,602.62,6,830.16
DIOSGLT-10 TAB.15 S 15 S,0,0,10,1458.4,4,648.2,6,875.04
DIOZAM 10 TAB.                10 S,0,0,0,0,0,0,0,0
DIOZAM 5 TAB 10 S,0,0,0,0,0,0,0,0
ESIPRAM 10MG.TAB.             10 S,41,2683.86,30,1963.8,21,1487.33,50,3273
ESIPRAM PLUS TAB.             10 S,23,2423.97,20,2107.8,20,2317.41,23,2423.97
FITJEE CAP                    10 S,10,1051.6,20,2103.2,10,1009.5,20,2103.2
FITJEE Q10 TAB. 10 S,8,2923.68,10,3654.6,9,3581.54,9,3289.14
FITJEE-DM TAB 10 S,8,1399.84,0,0,0,0,8,1399.84
ISIRON CAP.                   10 S,19,1099.34,0,0,0,0,19,1099.34
LINAGET DM TAB.               10 S,0,0,0,0,0,0,0,0
LINAGET- D 10 S,7,787.08,0,0,0,0,7,787.08
LINAGET-5 TAB.                10 S,0,0,0,0,0,0,0,0
LINAGET-E25 10 S,12,924.96,10,770.8,8,674.84,14,1079.12
LINAGET-M1000 TAB.            10 S,0,0,0,0,0,0,0,0
LINAGET-M500 10 S,0,0,0,0,0,0,0,0
METDIOS 25 10 S,10,313.2,0,0,0,0,10,313.2
METDIOS 50 10 S,10,377.1,0,0,0,0,10,377.1
NEUTOCID LS                   10 S,0,0,0,0,0,0,0,0
PREMYLIN-M75 TAB.             10 S,25,3035.5,20,2428.4,14,1876.6,31,3764.02
PREMYLIN-MSR TAB.             10 S,47,5483.96,30,3500.4,30,3850.31,47,5483.96
PROSTADO TAB. 10 S,12,722.76,0,0,3,200.76,9,542.07
PROSTADO-D TAB.               10 S,14,2582.44,0,0,6,1192.86,8,1475.68
VALROS ASP 150 CAP 10 S,30,1580.4,0,0,0,0,30,1580.4
VALROS ASP CAP 10 S,27,1406.97,20,1042.2,6,345.66,41,2136.51
VALROS EZ-40 10 S,30,5140.8,0,0,0,0,30,5140.8
VALROS GOLD10 CAP. 10 S,30,3246,0,0,-3,0,33,3570.6
VALROS GOLD20 CAP. 10 S,1,108.2,0,0,-7,667.9,8,865.6
VALROS-10 TAB.                10 S,16,1490.72,15,1397.55,24,2326.09,7,652.19
VALROS-20 TAB.                10 S,10,1394.6,15,2091.9,15,2093.51,10,1394.6
VALROS-F 20 TAB 10 S,24,6001.68,0,0,0,0,24,6001.68
VALROS-F TAB.                 10 S,-1,-115.9,30,3477,24,2719.84,5,579.5
VIDGLIT M FORTE TAB. 10 S,0,0,0,0,0,0,0,0
VIDGLIT M TAB.                10 S,21,2075.22,20,1976.4,43,4625.88,-2,-197.64
VIDGLIT TAB.                  10 S,10,743.5,20,1487,6,495.66,24,1784.4
VIDMET-G 80 TAB. 10 S,72,5880.96,100,8168,99,8805.54,73,5962.64
VIDMET-SR 1000                10 S,18,493.2,0,0,6,182.64,12,328.8
VIDMET-SR 500                 10 S,64,844.16,50,659.5,68,992.48,46,606.74
VINTEL CD TAB 10 S,12,686.64,0,0,3,185.02,9,514.98
VINTEL-20 TAB .               10 S,12,316.44,0,0,3,87.9,9,237.33
VINTEL-40 TAB.15 S            15 S,-8,-584,80,5840,38,3053.78,34,2482
VINTEL-40AM TAB.              15 S,103,10695.52,30,3115.2,8,909.19,125,12980
VINTEL-40H TAB15 S            15 S,6,744.42,20,2481.4,2,275.72,24,2977.68
VINTEL-80 TAB.                10 S,0,0,0,0,0,0,0,0
VINTEL-CT TAB.                10 S,16,1294.4,20,1618,26,2299.39,10,809
VINTEL-CTC TAB.               10 S,32,4037.44,150,18941.1,64,8871.66,118,14888.06
VINTEL-H80 TAB.               10 S,0,0,0,0,0,0,0,0
VINTEL-M25 TAB.               10 S,0,0,10,692.3,0,0,10,692.3
VINTEL-M50 TAB.               10 S,9,685.35,0,0,0,0,9,685.35
VINVES-100 TAB.               14 S,0,0,0,0,0,0,0,0
VINVSE-50 TAB.                14 S,0,0,10,1787.1,0,0,10,1787.1
XILDA P TAB.                  10 S,0,0,0,0,0,0,0,0
