PRODUCT NAME,PRIMARY QTY,PRIMARY VALUE
CALGYM 60K CAPS,311,"28,053.71"
CALGYM TAB,13,"1,128.67"
CITICURE PLUS TAB,10,"5,172.80"
DIOMILIN NT TABLET,139,"19,244.62"
DIOSGLT 10 TAB,30,"4,375.20"
ESIPRAM 10MG TAB,86,"5,634.04"
ESIPRAM PLUS TAB,323,"34,040.97"
FITJEE CAPS,100,"10,516.00"
FITJEE DM TABLET,10,"1,749.80"
FITJEE Q10 TAB,10,"3,654.60"
LINAGET DM TAB,-30,"-3,645.00"
LINAGET-D TAB,-3,-306.63
LINAGET-M-OD5/1000 TAB,20,"1,838.60"
LINAGET-M-OD5/500 TAB,30,"2,179.20"
PREMYLIN M 75 TAB,35,"4,304.90"
PREMYLIN MSR TAB,249,"29,053.32"
PROSTADO D TAB,10,"1,844.60"
VALROS 10 TAB,44,"4,107.95"
VALROS 20 TAB,60,"8,367.60"
VALROS ASP CAPS,-3,-156.33
VALROS ASP150 CAPS,-3,-158.04
VALROS EZ-10,90,"15,422.40"
VALROS EZ-20,30,"5,140.80"
VALROS EZ-40,33,"5,654.88"
VALROS F TAB,293,"33,958.70"
VALROS GOLD 10 CAPS,72,"7,819.89"
VALROS GOLD 20 CAPS,12,"1,484.34"
VIDGLIT M FOTRE TAB,10,"1,108.00"
VIDGLIT M TAB,67,"6,647.88"
VIDGLIT TAB,0,67.50
VIDMET G 80 TAB,112,"9,281.90"
VIDMET SR 1000MG TAB,-1,-26.93
VIDMET SR 500MG TAB,322,"4,249.02"
VINTEL 20 TAB,54,"1,426.68"
VINTEL 40 TAB NEW,370,"27,010.00"
VINTEL AM40 TAB,99,"10,289.60"
VINTEL CT TAB,155,"12,723.50"
VINTEL CTC TAB,951,"120,214.62"
VINTEL H40 TAB NEW,20,"2,481.40"
Vintel M25 TAB,-12,-692.16
Vintel M50 TAB,-18,"-1,246.14"
XILDA M 1000 TAB,-10,-781.70
XILDA M 500 TAB,104,"9,036.80"
S,M,T
S,M,T
