PRODUCT NAME,PRIMARY QTY,PRIMARY VALUE
CALGYM 60K CAPS,311.0,28053.71
CALGYM TAB,13.0,1128.67
CITICURE PLUS TAB,10.0,5172.8
DIOMILIN NT TABLET,139.0,19244.62
DIOSGLT 10 TAB,30.0,4375.2
ESIPRAM 10MG TAB,86.0,5634.04
ESIPRAM PLUS TAB,323.0,34040.97
FITJEE CAPS,100.0,10516.0
FITJEE DM TABLET,10.0,1749.8
FITJEE Q10 TAB,10.0,3654.6
LINAGET DM TAB,-30.0,-3645.0
LINAGET-D TAB,-3.0,-306.63
LINAGET-M-OD5/1000 TAB,20.0,1838.6
LINAGET-M-OD5/500 TAB,30.0,2179.2
PREMYLIN M 75 TAB,35.0,4304.9
PREMYLIN MSR TAB,249.0,29053.32
PROSTADO D TAB,10.0,1844.6
VALROS 10 TAB,44.0,4107.95
VALROS 20 TAB,60.0,8367.6
VALROS ASP CAPS,-3.0,-156.33
VALROS ASP150 CAPS,-3.0,-158.04
VALROS EZ-10,90.0,15422.4
VALROS EZ-20,30.0,5140.8
VALROS EZ-40,33.0,5654.88
VALROS F TAB,293.0,33958.7
VALROS GOLD 10 CAPS,72.0,7819.89
VALROS GOLD 20 CAPS,12.0,1484.34
VIDGLIT M FOTRE TAB,10.0,1108.0
VIDGLIT M TAB,67.0,6647.88
VIDGLIT TAB,0.0,67.5
VIDMET G 80 TAB,112.0,9281.9
VIDMET SR 1000MG TAB,-1.0,-26.93
VIDMET SR 500MG TAB,322.0,4249.02
VINTEL 20 TAB,54.0,1426.68
VINTEL 40 TAB NEW,370.0,27010.0
VINTEL AM40 TAB,99.0,10289.6
VINTEL CT TAB,155.0,12723.5
VINTEL CTC TAB,951.0,120214.62
VINTEL H40 TAB NEW,20.0,2481.4
Vintel M25 TAB,-12.0,-692.16
Vintel M50 TAB,-18.0,-1246.14
XILDA M 1000 TAB,-10.0,-781.7
XILDA M 500 TAB,104.0,9036.8
