Page No.1,,S,ales & S,tock Statem,ent(,From 0,1/08/2026,Upto 31,/08/202,6)
DIOS LI,FES,CIENC,ES P,VT.LTD,.,,,,,
PRODUCT NAM,E,PACKING,Op.Bal.,Receipt Tot,al,Issue,Closing,Dump,Near,
,,,Qty.,Qty. Qty,.,Qty.,Balance,Stock,Expiry,
CALGYM TAB.,,1*10,12,0 1,2,0,12,2,0,
CALGYM-60 K T,AB.,1*4,4,0,4,1,3,3,0,
CITICURE PLUS,TAB,1 *10,10,10 2,0,10,10,0,0,
DIOMILIN NT T,AB,1*15,12,0 1,2,5,7,7,0,
ESIPRAM PLUS,TAB.,1*10,16,0 1,6,0,16,6,0,
FITJEE CAP.,,1 *10,19,100 11,9,119,0,0,0,
FITJEE Q 10 TAB,,1 *10,0,0,0,0,0,0,0,
FITJEE-DM TAB,,1 *10,0,10 1,0,10,0,0,0,
LINAGET E 25,,1*10,29,0 2,9,11,18,18,0,
LINAGET M OD,500 TA,1*10,2,0,2,0,2,2,0,
LINAGET-5 TAB,,1*10,21,0 2,1,12,9,3,0,
LINAGET-D TA,B,1*10,0,0,0,0,0,0,0,
LINAGET-M 100,0 TAB,1*10,0,0,0,0,0,0,0,
LINAGET-M 500,TAB,1*10,0,0,0,0,0,0,0,
NEUTOCID LS C,AP.,1*10,21,0 2,1,1,20,20,0,
PREMYLIN-M 7,5 TAB.,1*10,14,0 1,4,3,11,11,1,
PREMYLIN-M S,R TAB.,10S,21,10 3,1,6,25,1,0,
PROSTADO-D T,AB.,10S,0,0,0,0,0,0,0,
VALROS 20 TAB,,1*10,0,0,0,0,0,0,0,
VALROS 40 TAB,.,1*10,0,0,0,0,0,0,0,
VALROS ASP 15,0,1*10 CAP,0,0,0,0,0,0,0,
VALROS ASP C,AP,1 *10,0,0,0,0,0,0,0,
VALROS EZ 10,TAB.,1*10,47,60 10,7,51,56,56,0,
VALROS EZ 20,TAB.,1*10,12,0 1,2,0,12,12,0,
VALROS F 20 T,AB.,1*10,0,0,0,0,0,0,0,
VALROS GOLD,CAP,1 *10,8,0,8,3,5,5,0,
VALROS-10 TAB,.,1*10,20,0 2,0,3,17,17,0,
VALROS-F TAB.,,1*10,29,33 6,2,24,38,5,1,
VIDGLIT M FOR,TE TAB,1 *10,20,0 2,0,0,20,20,0,
VIDGLIT-20 TA,B.,1*10,10,10 2,0,6,14,4,0,
VIDGLIT-M TAB,.,1*10,14,20 3,4,13,21,0,0,
VIDMET-G 80 T,AB.,1*10,19,20 3,9,13,26,6,0,
VIDMET-SR 100,0 TAB.,1*10,0,0,0,0,0,0,0,
VIDMET-SR 500,TAB.,1*10,20,0 2,0,0,20,20,0,
VINTEL 20 TAB,,1*10,0,0,0,0,0,0,0,
VINTEL 80 TAB,,1*10,0,0,0,0,0,0,0,
VINTEL AM 40 T,AB.,1*10,7,0,7,0,7,7,0,
VINTEL CD TAB,,1*10 TAB,0,0,0,0,0,0,0,
VINTEL CT TAB,.,1*10,5,10 1,5,3,12,12,0,
VINTEL CTC T,AB.,1*10,48,120 16,8,72,96,3,2,
VINTEL H 80 TA,B,1*10,0,0,0,0,0,0,0,
VINTEL M 25 TA,B,1 *10,0,0,0,0,0,0,0,
VINTEL M 50 TA,B,1 *10,0,0,0,0,0,0,0,
VINTEL-40 TAB,.,1*10,22,0 2,2,2,20,20,1,
VINTEL-H-40 TA,B.,1*10,21,0 2,1,2,19,11,9,
VINVES-100 TA,B,1*1*14 TAB,0,0,0,0,0,0,0,
XILDA M TAB,,1 *15,9,0,9,2,7,7,0,
XILDA TAB,,1 *15,0,0,0,0,0,0,0,
TOTAL,,,56183,51277 10746,0,43685,61817,30558,1523,
Purchase Inv,oice,No.,,,,Re,ceipt Date,,A,mount Rs.
---------------,-----,,,,,,------------,,,-----------
351,,,Dtd. 14,/08/26,,,17/08/26,,,42022.00
367,,,Dtd. 25,/08/26,,,27/08/26,,,13660.00
,,,,,,,,--------,---,
***,,,,,,,,,,
Page No.2 Sales,& Stock Stateme
DIOS LIFESCIENCES,PVT.LTD.
PRODUCT NAME PACKING Op.Bal.,Receipt Total
Qty.,Qty. Qty.
***,
